DataYear,ID,PropertyName,ReportingStatus,Address,ZIPCode,ChicagoEnergyRating,ExemptFromChicagoEnergyRating,CommunityArea,PrimaryPropertyType,GrossFloorArea,YearBuilt,NumberOfBuildings,WaterUse,ENERGYSTARScore,ElectricityUse,FossilGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI,TotalGHGEmissions,GHGIntensity,Latitude,Longitude,Location,Row_ID,Wards,CommunityAreas,ZipCodes,CensusTracts,HistoricalWards2003-2015
2022,175891,,Submitted Data,6730   SOUTH SHORE DR,60649,4.0,False,SOUTH SHORE,Multifamily Housing,172500.0,1962.0,1,,100,2069532.4,3384519.4,0.0,0.0,,36.4,62.3,36.4,62.3,452.4,3.0,41.7852002,-87.6115702,"(41.7852002, -87.6115702)",2022-175891,4,9,22260.0,331,53
2022,251245,3800 N. Lake Shore Drive,Submitted Data,3800 Lake Shore Dr,60613,3.5,False,LAKE VIEW,Multifamily Housing,249095.0,1927.0,2,,74,3345590.2,18702028.9,0.0,0.0,,88.5,116.4,94.1,121.1,1434.0,5.8,41.7689831,-87.585814,"(41.7689831, -87.585814)",2022-251245,33,39,22538.0,381,32
2022,256658,Midpointe Apartments,Submitted Data,4050 West 115th Street,nan,4.0,False,,Multifamily Housing,393938.0,1973.0,8,,75,6388293.5,20841006.3,0.0,0.0,,69.1,101.0,71.9,102.6,1948.4,4.9,41.68404416097816,-87.72196287522412,"(41.68404416097816, -87.72196287522412)",2022-256658,42,73,4447.0,264,33
2022,250062,RJ Quinn Academy,Submitted Data,558 W De Koven St,60607,2.0,False,NEAR WEST SIDE,Adult Education,66285.0,1961.0,1,,,2649529.2,3322169.7,0.0,0.0,,90.1,164.5,91.9,165.6,525.4,7.9,41.8691173077849,-87.64134962810887,"(41.869117307784904, -87.64134962810887)",2022-250062,26,29,14917.0,97,48
2022,101545,,Submitted Data,849 863 W BUENA AVE,60613,2.0,False,UPTOWN,Multifamily Housing,51163.0,1925.0,1,,50,541560.1,4310877.6,0.0,0.0,,94.8,118.1,101.2,123.8,300.3,5.9,41.95835278315766,-87.65180597369445,"(41.95835278315766, -87.65180597369445)",2022-101545,39,31,21186.0,577,37
2022,160438,155 North Wacker,Submitted Data,155 N Wacker Dr,60606,4.0,False,LOOP,Office,1484327.0,2009.0,1,,75,63482520.5,0.0,0.0,29929202.7,,66.4,145.8,64.4,144.9,9938.8,7.1,41.88461561705127,-87.63668235780031,"(41.88461561705127, -87.63668235780031)",2022-160438,36,38,14914.0,92,22
2022,157280,Noble Square Cooperative,Submitted Data,1165 N MILWAUKEE AVE,60642,2.5,False,WEST TOWN,Multifamily Housing,284850.0,1969.0,1,,59,5337441.6,22518851.5,0.0,0.0,,97.8,135.5,101.6,138.6,1899.1,6.7,41.90300503923503,-87.66570654445466,"(41.903005039235026, -87.66570654445466)",2022-157280,46,25,22620.0,484,41
2022,103871,,Submitted Data,111 S PEORIA ST,60607,4.0,False,NEAR WEST SIDE,Multifamily Housing,255100.0,2017.0,1,,96,4178418.8,6607850.3,0.0,0.0,,47.8,82.5,49.4,82.9,901.3,4.0,41.88008796259812,-87.64949931059303,"(41.88008796259812, -87.64949931059303)",2022-103871,46,29,14917.0,91,41
2022,256630,The Residences at 8 East Huron,Submitted Data,8 E Huron St,nan,1.0,False,,Multifamily Housing,196844.0,2017.0,1,,15,6025888.9,9583179.9,0.0,0.0,,91.0,157.1,91.8,156.1,1302.7,7.6,41.89499060703644,-87.62782919767419,"(41.89499060703644, -87.62782919767419)",2022-256630,36,37,21182.0,626,22
2022,113752,,Submitted Data,1540  N STATE PKWY,60610,4.0,False,NEAR NORTH SIDE,Multifamily Housing,105500.0,1970.0,1,,98,1336010.7,4965839.6,0.0,0.0,,59.7,84.9,62.6,86.7,439.7,4.2,41.910727236140296,-87.62901846282452,"(41.910727236140296, -87.62901846282452)",2022-113752,11,37,14926.0,100,22
2022,250145,180 N Wabash Ave,Submitted Data,180 N Wabash Ave,60601,1.0,False,LOOP,Office,162153.0,1919.0,1,,27,10711083.6,8663451.7,0.0,0.0,,119.5,241.1,121.0,240.2,1871.0,11.5,41.885353703982936,-87.62641328540737,"(41.885353703982936, -87.62641328540737)",2022-250145,36,38,14309.0,580,22
2022,251221,211 W Wacker Dr,Submitted Data,211 W Wacker Dr,60606,3.5,False,LOOP,Office,158063.0,1927.0,1,,72,5181368.0,7886636.6,0.0,0.0,,82.7,144.2,85.1,144.6,1101.4,7.0,41.88670787976228,-87.63431854507897,"(41.88670787976228, -87.63431854507897)",2022-251221,36,38,14914.0,92,22
2022,100179,Saint Anthony Hospital - Main Hospital,Submitted Data,2875 W 19th St,60623,0.0,False,SOUTH LAWNDALE,Hospital (General Medical & Surgical),450612.0,1897.0,1,,,15191302.2,0.0,0.0,0.0,,,,,,,,41.85540289350027,-87.69870754487314,"(41.85540289350027, -87.69870754487314)",2022-100179,1,32,21569.0,203,29
2022,254049,Farcroft by the Lake,Submitted Data,1337 W Fargo Ave,60626,4.0,False,Rogers Park,Multifamily Housing,115362.0,1928.0,1,,79,2708425.8,3944036.5,0.0,0.0,,57.7,101.6,58.4,101.1,566.2,4.9,42.0170650891458,-87.66474749058055,"(42.0170650891458, -87.66474749058055)",2022-254049,5,10,21853.0,357,3
2022,236345,The Private Residences at Ontario Place Condominiu,Submitted Data,10 E Ontario St,60611,1.0,False,NEAR NORTH SIDE,Multifamily Housing,690169.0,1983.0,1,,11,39802699.9,12723426.0,0.0,0.0,,107.0,254.2,108.6,257.6,5918.4,12.1,41.89338886697453,-87.62770240071154,"(41.89338886697453, -87.62770240071154)",2022-236345,36,37,21182.0,626,22
2022,254009,Maple Court Apartments,Submitted Data,1120 1126 E 47th St,60653,1.0,False,Kenwood,Multifamily Housing,50760.0,1915.0,1,,15,445867.4,6659899.7,0.0,0.0,,140.0,162.4,149.8,171.8,412.5,8.1,41.80973408310273,-87.59839106098786,"(41.80973408310273, -87.59839106098786)",2022-254009,10,5,4301.0,395,1
2022,243913,990 North Lake Shore Drive,Submitted Data,990 N Lake Shore Dr,60611,1.0,False,NEAR NORTH SIDE,Multifamily Housing,331127.0,1973.0,1,,16,12489242.8,10220816.8,0.0,0.0,,76.6,154.1,79.6,158.0,2187.9,7.4,41.900733268826365,-87.61985707754388,"(41.900733268826365, -87.61985707754388)",2022-243913,11,37,21182.0,105,22
2022,160299,,Submitted Data,111 W WACKER DR,60601,3.0,False,LOOP,Multifamily Housing,940002.0,2014.0,1,,41,30516051.4,18195799.7,0.0,0.0,,60.1,129.0,60.6,129.0,4985.9,6.2,41.886706842036986,-87.63140795865142,"(41.886706842036986, -87.63140795865142)",2022-160299,36,38,14309.0,92,22
2022,251687,Peirce Sch Of Intl Studies -CPS,Submitted Data,1423 W Bryn Mawr Ave,60660,1.0,False,EDGEWATER,K-12 School,141588.0,1915.0,4,,28,4758764.1,7158680.3,0.0,0.0,,84.2,147.2,86.3,149.5,1007.0,7.1,41.98342818917878,-87.66586537292214,"(41.98342818917878, -87.66586537292214)",2022-251687,16,76,4451.0,540,40
2022,171887,,Submitted Data,1824 N SPAULDING AVE,60647,4.0,False,LOGAN SQUARE,Multifamily Housing,65000.0,2015.0,1,,86,981628.0,3244725.2,0.0,0.0,,65.0,94.7,65.5,93.2,301.6,4.6,41.9144873110274,-87.7103519431192,"(41.9144873110274, -87.7103519431192)",2022-171887,41,23,22535.0,387,10
2022,175978,,Submitted Data,6700  S KEATING AVE,60629,4.0,False,WEST LAWN,Senior Living Community,120000.0,2017.0,1,,85,3469219.3,4911300.4,0.0,0.0,,69.8,123.9,71.6,125.8,717.8,6.0,41.771069588287695,-87.74052887602656,"(41.771069588287695, -87.74052887602656)",2022-175978,15,63,4300.0,318,23
2022,255740,The Van Buren,Submitted Data,808 W Van Buren,60607,1.0,False,NEAR WEST SIDE,Multifamily Housing,125766.0,2018.0,1,,22,4665641.8,7631923.3,0.0,0.0,,104.6,179.3,108.0,182.8,1019.9,8.7,41.876775163443966,-87.64761342827666,"(41.876775163443966, -87.64761342827666)",2022-255740,46,29,14917.0,91,41
2022,116752,Ike Sims Village,Submitted Data,3333  W MAYPOLE AVE,60624,2.0,False,EAST GARFIELD PARK,Multifamily Housing,91511.0,1981.0,1,,28,3783873.8,2080705.3,0.0,0.0,,75.4,164.3,76.7,167.1,608.9,7.8,41.88346519170685,-87.71003990906787,"(41.883465191706854, -87.71003990906787)",2022-116752,23,28,21572.0,176,11
2022,116336,LaSalle Private Residences,Submitted Data,1212 N LaSalle St,60610,3.0,False,NEAR NORTH SIDE,Multifamily Housing,471954.0,1986.0,1,,61,11662672.1,6851736.5,0.0,0.0,,50.4,108.4,50.4,107.5,1900.1,5.2,41.904296301251605,-87.63308211662499,"(41.904296301251605, -87.63308211662499)",2022-116336,11,37,14926.0,290,51
2022,101682,8750 West Bryn Mawr Ave - Triangle Plaza,Submitted Data,8750 W Bryn Mawr Ave,60631,4.0,False,OHARE,Office,1286868.0,1985.0,1,,86,31846235.2,186167.5,0.0,0.0,,41.7,116.2,42.3,118.0,4204.5,5.5,41.98106319707633,-87.84567441591551,"(41.98106319707633, -87.84567441591551)",2022-101682,29,75,22243.0,64,34
2022,101969,Chicago Temple Building,Submitted Data,77 W Washington,60602,2.5,False,LOOP,Office,238531.0,1924.0,1,,59,7981605.0,11794100.2,0.0,0.0,,82.9,145.6,85.8,147.4,1677.7,7.0,41.883100539501605,-87.63033121191829,"(41.883100539501605, -87.63033121191829)",2022-101969,36,38,14310.0,92,22
2022,238712,899 South Plymouth Court Condominium Association,Submitted Data,899 S Plymouth Ct,60605,1.5,False,LOOP,Multifamily Housing,263800.0,1980.0,1,,40,10805846.2,5789635.4,0.0,0.0,,62.9,137.7,64.3,140.4,1730.8,6.6,41.87057299287796,-87.62844790993732,"(41.87057299287796, -87.62844790993732)",2022-238712,10,38,14913.0,12,48
2022,125204,Reside on Morse,Submitted Data,1340  W MORSE AVE,60626,2.0,False,ROGERS PARK,Multifamily Housing,62088.0,1967.0,2,,46,1661671.1,5625168.7,0.0,0.0,,117.4,170.1,120.4,171.9,517.6,8.3,42.00802983930751,-87.66535497284883,"(42.00802983930751, -87.66535497284883)",2022-125204,5,10,21853.0,66,3
2022,159099,Sofitel Chicago Water Tower,Submitted Data,20 E Chestnut St,60611,1.0,False,NEAR NORTH SIDE,Hotel,377000.0,2002.0,1,,13,24261731.9,30739699.5,0.0,0.0,,145.9,265.8,146.1,261.1,4828.3,12.8,41.89844463667514,-87.62740563976503,"(41.898444636675144, -87.62740563976503)",2022-159099,11,37,21182.0,104,22
